Date,Arriving by date,Type,Confirmation code,Booking date,Start date,End date,Nights,Guest,Listing,Details,Reference code,Currency,Amount,Paid out,Service fee,Fast pay fee,Cleaning fee,Pet fee,Gross earnings,Occupancy taxes,Earnings year
08/28/2025,09/01/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",600856229392177,USD,,1110.65,,,,,,,
08/28/2025,,Reservation,HMPOC50H2C,07/08/2025,08/22/2025,08/27/2025,5,Ximena Ellingson,Juniper Bend Hideaway,,,USD,1110.65,,34.35,,50.00,25.00,1145.00,172.67,2025
08/22/2025,08/26/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",404453230435803,USD,,999.10,,,,,,,
08/22/2025,,Reservation,HMXKO8G8QY,07/19/2025,08/16/2025,08/21/2025,5,Bennett Thackeray,Juniper Bend Hideaway,,,USD,999.10,,30.90,,50.00,0.00,1030.00,155.32,2025
08/14/2025,08/18/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",503635642152281,USD,,537.38,,,,,,,
08/14/2025,,Reservation,HMZS43C5BA,08/01/2025,08/10/2025,08/13/2025,3,Gwen Nakamura,Juniper Bend Hideaway,,,USD,537.38,,16.62,,50.00,0.00,554.00,83.54,2025
08/07/2025,08/11/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",557828954255716,USD,,677.06,,,,,,,
08/07/2025,,Reservation,HM9BH811KE,06/27/2025,08/02/2025,08/06/2025,4,Katya Umberto,Juniper Bend Hideaway,,,USD,677.06,,20.94,,50.00,0.00,698.00,105.26,2025
08/01/2025,08/05/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",054682045771929,USD,,391.88,,,,,,,
08/01/2025,,Reservation,HMPVOHSMDY,06/17/2025,07/29/2025,07/31/2025,2,Elena Calloway,Juniper Bend Hideaway,,,USD,391.88,,12.12,,50.00,0.00,404.00,60.92,2025
07/29/2025,08/02/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",743241187066982,USD,,583.94,,,,,,,
07/29/2025,,Reservation,HMMNZ1UDBF,06/11/2025,07/25/2025,07/28/2025,3,Maren Vandermeer,Juniper Bend Hideaway,,,USD,583.94,,18.06,,50.00,0.00,602.00,90.78,2025
07/23/2025,07/27/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",309818193198794,USD,,840.02,,,,,,,
07/23/2025,,Reservation,HM7MGFXC08,07/08/2025,07/18/2025,07/22/2025,4,Silas Ivanova,Juniper Bend Hideaway,,,USD,840.02,,25.98,,50.00,0.00,866.00,130.59,2025
07/18/2025,07/22/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",508942116793849,USD,,662.51,,,,,,,
07/18/2025,,Reservation,HMU1WYUVXY,07/08/2025,07/14/2025,07/17/2025,3,Avery Quintana,Juniper Bend Hideaway,,,USD,662.51,,20.49,,50.00,0.00,683.00,103.00,2025
07/12/2025,07/16/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",401455630202047,USD,,393.82,,,,,,,
07/12/2025,,Reservation,HMMUHXID4N,06/17/2025,07/09/2025,07/11/2025,2,Yusuf Ashford,Juniper Bend Hideaway,,,USD,393.82,,12.18,,50.00,0.00,406.00,61.22,2025
07/07/2025,07/11/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",539189251846748,USD,,853.60,,,,,,,
07/07/2025,,Reservation,HMNEC8UYO5,05/30/2025,07/01/2025,07/06/2025,5,Hiro Thackeray,Juniper Bend Hideaway,,,USD,853.60,,26.40,,50.00,0.00,880.00,132.70,2025
07/01/2025,07/05/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",944937978876575,USD,,871.06,,,,,,,
07/01/2025,,Reservation,HMODPXNF7C,06/16/2025,06/26/2025,06/30/2025,4,Ulysses Pemberton,Juniper Bend Hideaway,,,USD,871.06,,26.94,,50.00,0.00,898.00,135.42,2025
06/23/2025,06/27/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",232641698766932,USD,,781.82,,,,,,,
06/23/2025,,Reservation,HMP2EX5T5P,05/30/2025,06/18/2025,06/22/2025,4,Callum Whitlock,Juniper Bend Hideaway,,,USD,781.82,,24.18,,50.00,0.00,806.00,121.54,2025
06/15/2025,06/19/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",443409490342355,USD,,1057.30,,,,,,,
06/15/2025,,Reservation,HMZP6LFEWV,05/15/2025,06/09/2025,06/14/2025,5,Delphine Ivanova,Juniper Bend Hideaway,,,USD,1057.30,,32.70,,50.00,25.00,1090.00,164.37,2025
06/06/2025,06/10/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",152837670326166,USD,,413.22,,,,,,,
06/06/2025,,Reservation,HM8B25SQ8C,04/29/2025,06/03/2025,06/05/2025,2,Farid Quintana,Juniper Bend Hideaway,,,USD,413.22,,12.78,,50.00,0.00,426.00,64.24,2025
05/26/2025,05/30/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",871782026934658,USD,,323.98,,,,,,,
05/26/2025,,Reservation,HMILGB0S0R,04/25/2025,05/23/2025,05/25/2025,2,Bennett Grimaldi,Juniper Bend Hideaway,,,USD,323.98,,10.02,,50.00,0.00,334.00,50.37,2025
05/18/2025,05/22/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",722076278094890,USD,,458.81,,,,,,,
05/18/2025,,Reservation,HM2VJ99T2D,05/08/2025,05/14/2025,05/17/2025,3,Jonas Thackeray,Juniper Bend Hideaway,,,USD,458.81,,14.19,,50.00,0.00,473.00,71.33,2025
05/09/2025,05/13/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",922134619916846,USD,,517.01,,,,,,,
05/09/2025,,Reservation,HM8BM92H3T,03/24/2025,05/05/2025,05/08/2025,3,Tamsin Thackeray,Juniper Bend Hideaway,,,USD,517.01,,15.99,,50.00,0.00,533.00,80.38,2025
04/26/2025,04/30/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",090967282521720,USD,,415.16,,,,,,,
04/26/2025,,Reservation,HMN6XCJ883,04/12/2025,04/22/2025,04/25/2025,3,Zora Yarrow,Juniper Bend Hideaway,,,USD,415.16,,12.84,,50.00,0.00,428.00,64.54,2025
04/21/2025,,Resolution Payout,HM5X4W7KYH,,04/12/2025,04/16/2025,4,Zora Zielinski,Juniper Bend Hideaway,AirCover damage reimbursement for resolution CLSF-10697290,,USD,51.00,,,,,,51.00,,2025
04/17/2025,04/21/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",764459725583371,USD,,696.46,,,,,,,
04/17/2025,,Reservation,HM5X4W7KYH,03/10/2025,04/12/2025,04/16/2025,4,Zora Zielinski,Juniper Bend Hideaway,,,USD,696.46,,21.54,,50.00,0.00,718.00,108.27,2025
04/05/2025,04/09/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",455686824922997,USD,,442.32,,,,,,,
04/05/2025,,Reservation,HM8KRD5EQY,02/21/2025,04/01/2025,04/04/2025,3,Nadia Boulanger,Juniper Bend Hideaway,,,USD,442.32,,13.68,,50.00,25.00,456.00,68.76,2025
03/30/2025,04/03/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",442564877559439,USD,,953.51,,,,,,,
03/30/2025,,Reservation,HMIA5U6HC3,03/01/2025,03/25/2025,03/29/2025,4,Nadia Ivanova,Juniper Bend Hideaway,,,USD,953.51,,29.49,,50.00,25.00,983.00,148.24,2025
03/24/2025,03/28/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",952045773825714,USD,,494.70,,,,,,,
03/24/2025,,Reservation,HM2N2ATQYY,02/07/2025,03/21/2025,03/23/2025,2,Callum Vandermeer,Juniper Bend Hideaway,,,USD,494.70,,15.30,,50.00,0.00,510.00,76.91,2025
03/21/2025,03/25/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",545403143886526,USD,,995.22,,,,,,,
03/21/2025,,Reservation,HM3J3R30ME,03/07/2025,03/16/2025,03/20/2025,4,Maren Ellingson,Juniper Bend Hideaway,,,USD,995.22,,30.78,,50.00,0.00,1026.00,154.72,2025
03/15/2025,03/19/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",007851819336855,USD,,407.40,,,,,,,
03/15/2025,,Reservation,HMPU0DK0GE,02/01/2025,03/12/2025,03/14/2025,2,Silas Vandermeer,Juniper Bend Hideaway,,,USD,407.40,,12.60,,50.00,0.00,420.00,63.34,2025
03/10/2025,03/14/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",345866103953164,USD,,991.34,,,,,,,
03/10/2025,,Reservation,HM61I2HGJ1,02/20/2025,03/05/2025,03/09/2025,4,Ximena Ashford,Juniper Bend Hideaway,,,USD,991.34,,30.66,,50.00,0.00,1022.00,154.12,2025
03/04/2025,03/08/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",586201123400532,USD,,813.83,,,,,,,
03/04/2025,,Reservation,HMKZA3OA52,02/20/2025,02/28/2025,03/03/2025,3,Priya Lindqvist,Juniper Bend Hideaway,,,USD,813.83,,25.17,,50.00,0.00,839.00,126.52,2025
03/01/2025,03/05/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",971194840342502,USD,,525.74,,,,,,,
03/01/2025,,Reservation,HM9K8YQK94,02/15/2025,02/26/2025,02/28/2025,2,Callum Jarrett,Juniper Bend Hideaway,,,USD,525.74,,16.26,,50.00,0.00,542.00,81.73,2025
02/27/2025,03/03/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",375121410984998,USD,,688.70,,,,,,,
02/27/2025,,Reservation,HMUIWQY6QK,01/15/2025,02/23/2025,02/26/2025,3,Gwen Umberto,Juniper Bend Hideaway,,,USD,688.70,,21.30,,50.00,0.00,710.00,107.07,2025
02/22/2025,02/26/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",328446144318393,USD,,634.38,,,,,,,
02/22/2025,,Reservation,HM2KNFTU2G,02/08/2025,02/18/2025,02/21/2025,3,Maren Okafor,Juniper Bend Hideaway,,,USD,634.38,,19.62,,50.00,25.00,654.00,98.62,2025
02/17/2025,02/21/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",390809722560856,USD,,432.62,,,,,,,
02/17/2025,,Reservation,HMYKID91ZD,01/30/2025,02/14/2025,02/16/2025,2,Wendell Delacroix,Juniper Bend Hideaway,,,USD,432.62,,13.38,,50.00,0.00,446.00,67.26,2025
02/13/2025,02/17/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",520192660655169,USD,,697.43,,,,,,,
02/13/2025,,Reservation,HMYX444NLZ,01/04/2025,02/09/2025,02/12/2025,3,Katya Beaumont,Juniper Bend Hideaway,,,USD,697.43,,21.57,,50.00,0.00,719.00,108.43,2025
02/10/2025,02/14/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",185571588531929,USD,,448.14,,,,,,,
02/10/2025,,Reservation,HMV55PSQ0O,01/24/2025,02/07/2025,02/09/2025,2,Franklin Yarrow,Juniper Bend Hideaway,,,USD,448.14,,13.86,,50.00,0.00,462.00,69.67,2025
02/07/2025,02/11/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",918037444513045,USD,,685.79,,,,,,,
02/07/2025,,Reservation,HMOLR6N92X,01/20/2025,02/03/2025,02/06/2025,3,Priya Quintana,Juniper Bend Hideaway,,,USD,685.79,,21.21,,50.00,0.00,707.00,106.62,2025
02/02/2025,02/06/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",221771329724354,USD,,1026.26,,,,,,,
02/02/2025,,Reservation,HMQRL1N759,01/08/2025,01/28/2025,02/01/2025,4,Callum Pemberton,Juniper Bend Hideaway,,,USD,1026.26,,31.74,,50.00,0.00,1058.00,159.55,2025
01/27/2025,01/31/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",669210179899675,USD,,851.66,,,,,,,
01/27/2025,,Reservation,HMJ2O7S3KK,12/11/2024,01/22/2025,01/26/2025,4,Avery Calloway,Juniper Bend Hideaway,,,USD,851.66,,26.34,,50.00,0.00,878.00,132.40,2025
01/21/2025,01/25/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",401332901591772,USD,,453.96,,,,,,,
01/21/2025,,Reservation,HMZSJ49ITN,12/06/2024,01/18/2025,01/20/2025,2,Yusuf Holloway,Juniper Bend Hideaway,,,USD,453.96,,14.04,,50.00,0.00,468.00,70.57,2025
01/18/2025,01/22/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",710864126390143,USD,,1050.51,,,,,,,
01/18/2025,,Reservation,HM9VIFTTD9,01/01/2025,01/13/2025,01/17/2025,4,Priya Holloway,Juniper Bend Hideaway,,,USD,1050.51,,32.49,,50.00,25.00,1083.00,163.32,2025
01/13/2025,,Resolution Payout,HM83TQLL8O,,01/05/2025,01/08/2025,3,Katya Marchetti,Juniper Bend Hideaway,AirCover damage reimbursement for resolution CLSF-69691437,,USD,79.00,,,,,,79.00,,2025
01/13/2025,01/17/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",471447964670645,USD,,1053.42,,,,,,,
01/13/2025,,Reservation,HMBSWRPBJE,12/16/2024,01/08/2025,01/12/2025,4,Quentin Lindqvist,Juniper Bend Hideaway,,,USD,1053.42,,32.58,,50.00,0.00,1086.00,163.77,2025
01/09/2025,01/13/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",316372044912132,USD,,784.73,,,,,,,
01/09/2025,,Reservation,HM83TQLL8O,11/29/2024,01/05/2025,01/08/2025,3,Katya Marchetti,Juniper Bend Hideaway,,,USD,784.73,,24.27,,50.00,0.00,809.00,122.00,2025
01/05/2025,01/09/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",384062806274449,USD,,1002.98,,,,,,,
01/05/2025,,Reservation,HMGVWRDMLY,12/16/2024,12/31/2024,01/04/2025,4,Otis Boulanger,Juniper Bend Hideaway,,,USD,1002.98,,31.02,,50.00,0.00,1034.00,155.93,2025
12/31/2024,01/04/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",686941179027833,USD,,438.44,,,,,,,
12/31/2024,,Reservation,HMY4VA13U1,12/12/2024,12/28/2024,12/30/2024,2,Wendell Zielinski,Juniper Bend Hideaway,,,USD,438.44,,13.56,,50.00,0.00,452.00,68.16,2024
12/28/2024,01/01/2025,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",803373026157133,USD,,645.05,,,,,,,
12/28/2024,,Reservation,HMKOJTPV60,11/11/2024,12/24/2024,12/27/2024,3,Yusuf Okafor,Juniper Bend Hideaway,,,USD,645.05,,19.95,,50.00,0.00,665.00,100.28,2024
12/24/2024,12/28/2024,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",572035165395750,USD,,882.70,,,,,,,
12/24/2024,,Reservation,HMTX63CFL0,11/08/2024,12/19/2024,12/23/2024,4,Wendell Thackeray,Juniper Bend Hideaway,,,USD,882.70,,27.30,,50.00,0.00,910.00,137.23,2024
12/18/2024,12/22/2024,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",196472126608456,USD,,480.15,,,,,,,
12/18/2024,,Reservation,HMQVKIZZQY,11/24/2024,12/15/2024,12/17/2024,2,Priya Zielinski,Juniper Bend Hideaway,,,USD,480.15,,14.85,,50.00,25.00,495.00,74.65,2024
12/14/2024,12/18/2024,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",307310948746902,USD,,995.22,,,,,,,
12/14/2024,,Reservation,HMWV08HHXF,11/23/2024,12/09/2024,12/13/2024,4,Zora Holloway,Juniper Bend Hideaway,,,USD,995.22,,30.78,,50.00,0.00,1026.00,154.72,2024
12/09/2024,12/13/2024,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",145809889433302,USD,,556.78,,,,,,,
12/09/2024,,Reservation,HMDIUOVW1N,11/03/2024,12/06/2024,12/08/2024,2,Ulysses Rasmussen,Juniper Bend Hideaway,,,USD,556.78,,17.22,,50.00,0.00,574.00,86.56,2024
12/07/2024,12/11/2024,Payout,,,,,,,,"Transfer to Poolula LLC, Checking 4410 (USD)",754116804397510,USD,,778.91,,,,,,,
12/07/2024,,Reservation,HMGB7R3OCW,11/25/2024,12/03/2024,12/06/2024,3,Dario Castellanos,Juniper Bend Hideaway,,,USD,778.91,,24.09,,50.00,0.00,803.00,121.09,2024
